SOURCE,geonames_ID,Name1,Name2,Name3,lat,long
geonames,290601,Umm al Ḩaţab,Umm al Hatab,"Jazirat Umm al Hatab,Jazīrat Umm al Ḩaţab,Umm al Halab Island,Umm al Hatab,Umm al Ḩaţab,Umm el Halab",24.21623,51.86389
OSM,relation/12902166,Al Yas Al 'Ali Island,جزيرة الياس العالي,جزيرة الياس العالي,24.2324258,52.0110349
geonames,292380,Bū Ka‘l,Bu Ka`l,"Bu Ka`l,Bū Ka‘l",24.23639,54.10611
geonames,290469,Al Yāsāt al ‘Ulyā,Al Yasat al `Ulya,"Al Yasat al `Ulya,Al Yāsāt al ‘Ulyā,Yasat `Ali,Yāsāt ‘Alī",24.23662,52.01234
geonames,292354,Bū Qirmah,Bu Qirmah,"Bu Qermah,Bu Qirmah,Bū Qermah,Bū Qirmah",24.23973,54.11756
geonames,292806,Ḩālat al ‘Allāk,Halat al `Allak,"Halat Buwaytir,Halat al `Alaq,Halat al `Allak,Halet al 'Allaq,Halet al ’Allāq,Halet al-'Allag,Hālet al-’Allāg,Ḩālat Buwaytir,Ḩālat al ‘Alaq,Ḩālat al ‘Allāk",24.24022,52.68217
geonames,290588,Umm ‘Amīm,Umm `Amim,"Jazirat Umm `min,Jazīrat Umm ‘mīn,Umm `Amim,Umm ‘Amīm",24.24128,53.39448
geonames,290774,Shū Triyyah,Shu Triyyah,"Shu Triyyah,Shū Triyyah",24.24938,54.29977
geonames,398678,Jazīrat Ḩāmī Rūḩah,Jazirat Hami Ruhah,"Jazirat Hami Ruhah,Jazīrat Ḩāmī Rūḩah",24.27311,51.68834
geonames,291263,Na‘ītah,Na`itah,"Jazirat Na`itah,Jazīrat Na‘ītah,Na`itah,Naita,Na‘ītah,Ne'ita,Ne’īta,Ni`eitah,Ni‘eitah",24.29085,51.79455
geonames,292881,Al Fīyay,Al Fiyay,"Al Bazm ash Sharqi,Al Bazm ash Sharqī,Al Fiha,Al Fiyay,Al Fuyay',Al Fuyay’,Al Fīyay,Al-Bazm al-Sharqi,Fiyya",24.29759,53.19911
geonames,291518,Jazīrat Marawwaḩ,Jazirat Marawwah,"Al Ghubbah,Jazirat Marawwah,Jazīrat Marawwaḩ,Maravakh,Marawah,Marawaḩ,Marawih,Marawwah,Marawwaḩ,Marāwiḩ,Merawwa,Merawwah,Merawwaḥ,Маравах",24.29826,53.28894
geonames,290775,Shuray‘ah,Shuray`ah,"Shuray`ah,Shuray‘ah",24.3,53.61667
geonames,292373,Bū Khushayshah,Bu Khushayshah,"Bu Khushayshah,Bu-Keshaisha,Bu-Kesheidhah,Bū Khushayshah,Bū-Kesheidhah",24.3,54.21667
OSM,way/174787347,,,,24.3008207,54.4012063
geonames,290540,‘Ushsh,`Ushsh,"Ishsh,Al Isha,Jazirat `Ish,Jazīrat ‘Ish,Ushsh,`Ashsh,`Ish,`Ushsh,‘Ashsh,‘Ish,‘Ushsh,’Ishsh",24.30488,52.87712
geonames,292839,Al Ifzī‘īyah,Al Ifzi`iyah,"Al Fadiyah,Al Faz`iyah,Al Faza`iyah,Al Fazaya,Al Faza‘īyah,Al Fazāya,Al Faz‘īyah,Al Faḑīyah,Al Ibsaiya,Al Ifzi`iyah,Al Ifzī‘īyah,Al `Ubsayyah,Al ‘Ubsayyah,Al-'Ifzi`iyyah,Al-Ifzai'yya,Al-Ifzai’yya,Al-’Ifzī‘iyyah,El Fazaya,Jazirat al Fadiyah,Jazirat al `Ubsayyah,Jazīrat al Faḑīyah,Jazīrat al ‘Ubsayyah",24.30557,51.65922
OSM,relation/13054470,Sir Bani Yas,صير بني ياس,صير بني ياس,24.3166296,52.6010491
geonames,290481,Jazīrat Yabr,Jazirat Yabr,"Jazirat Yabr,Jazīrat Yabr",24.31856,52.71939
geonames,290742,Sir Bani Yas Island,Sir Bani Yas Island,"Al Yas,Al Yās,Jezirat Yas,Jezīrat Yas,Sir Bani Yas,Sir Bani Yas Island,Sir Banias,Sir Beni Yas,XSB,Şīr Banī Yās",24.32589,52.60128
geonames,398683,Jazīrat al ‘Ubsayyah,Jazirat al `Ubsayyah,"Jazirat al `Ubsayyah,Jazīrat al ‘Ubsayyah",24.32667,51.63972
geonames,292899,Al Bazm al Gharbī,Al Bazm al Gharbi,"Al Bazm al Gharbi,Al Bazm al Gharbī,Al-Bizm al-Gharbi,Bazam al Gharbi,Bazim-al-Gharbi Island,Bazm al Gharbi",24.3296,53.08828
OSM,way/13667550,,,,24.3301358,54.4379258
OSM,node/1171829946,Fatasi Island,جزيرة الفطيسي,جزيرة الفطيسي,24.3497709,54.3161979
OSM,relation/13012752,Al Fuţaysī,الفطيسي,الفطيسي,24.3541434,54.3135129
geonames,398723,Jazīrat Khumays,Jazirat Khumays,"Jazirat Khumays,Jazīrat Khumays",24.3607,51.61618
geonames,291889,Hook Island,Hook Island,"Hook Island,Hook Islet",24.36227,52.76288
geonames,292179,Fatā’ir,Fata'ir,"Fata'ir,Fatā’ir",24.36667,52.85
